unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water_sewer,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
-8182465650243877708,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2022-12-28T00:00:00.000,2022,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2501-$2750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-1665979977583289387,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2016-08-25T00:00:00.000,2016,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$4251-$4500,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-2603300448067032424,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2023-01-04T00:00:00.000,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2751-$3000,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
90436360957827749,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2023-02-11T00:00:00.000,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3251-$3500,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
6080345175419333197,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2020-11-30T00:00:00.000,2020,One-Bedroom,One bathroom,751-1000 Sq.Ft,$2001-$2250,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-5292777208334984792,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1995-07-01T00:00:00.000,1995,One-Bedroom,One bathroom,751-1000 Sq.Ft,$1251-$1500,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
6681333347679469786,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1991-02-01T00:00:00.000,1991,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
5412337669868442628,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2019-03-02T00:00:00.000,2019,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2501-$2750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
7159622598380811704,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2021-06-07T00:00:00.000,2021,One-Bedroom,One bathroom,751-1000 Sq.Ft,$3001-$3250,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
1950189787273940974,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2022-12-20T00:00:00.000,2022,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$2501-$2750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
